"country";"happiness_score";"life_expectancy"
"Afghanistan";3.575;65.0
"Albania";4.959;77.8
"Algeria";5.605;75.6
"Angola";4.033;52.4
"Argentina";6.574;76.3
"Armenia";4.35;74.8
"Australia";7.284;82.8
"Austria";7.2;81.5
"Azerbaijan";5.212;72.7
"Bahrain";5.96;76.9
"Bangladesh";4.694;71.8
"Belarus";5.813;72.3
"Belgium";6.937;81.1
"Belize";5.956;71.0
"Benin";3.34;60.0
"Bhutan";5.253;69.8
"Bolivia";5.89;77.0
"Bosnia and Herzegovina";4.949;77.4
"Botswana";4.332;65.7
"Brazil";6.983;75.0
"Bulgaria";4.218;74.5
"Burkina Faso";3.587;59.9
"Burundi";2.905;59.6
"Ivory Coast";3.655;53.3
"Cambodia";3.819;68.7
"Cameroon";4.252;57.3
"Canada";7.427;82.2
"Central African Republic";3.678;52.5
"Chad";3.667;53.1
"Chile";6.67;85.0
"China";5.14;76.1
"Colombia";6.477;74.8
"Comoros";3.956;63.5
"Congo";4.517;64.7
"Costa Rica";7.226;79.6
"Croatia";5.759;78.0
"Cyprus";5.695;85.0
"Czech Republic";6.505;78.8
"Congo";4.517;59.8
"Denmark";7.527;86.0
"Djibouti";4.369;63.5
"Dominican Republic";4.885;73.9
"Ecuador";5.975;76.2
"Egypt";4.194;79.0
"El Salvador";6.13;73.5
"Estonia";5.429;77.6
"Ethiopia";4.512;64.8
"Finland";7.406;81.1
"France";6.575;82.4
"Gabon";3.896;66.0
"Gambia";4.516;61.1
"Georgia";4.297;74.4
"Germany";6.75;81.0
"Ghana";4.633;62.4
"Greece";4.857;81.0
"Guatemala";6.123;71.9
"Guinea";3.656;59.0
"Haiti";4.518;63.5
"Honduras";4.788;74.6
"Hungary";4.8;75.8
"Iceland";7.561;82.7
"India";4.565;68.3
"Indonesia";5.399;69.1
"Iran";4.686;75.5
"Iraq";4.677;68.9
"Ireland";6.94;81.4
"Israel";7.278;82.5
"Italy";5.948;82.7
"Jamaica";5.709;76.2
"Japan";5.987;83.7
"Jordan";5.192;74.1
"Kazakhstan";5.855;72.0
"Kenya";4.419;63.4
"Kuwait";6.295;74.7
"Kyrgyzstan";5.286;71.1
"Laos";4.876;65.7
"Latvia";5.098;74.6
"Lebanon";4.839;74.9
"Lesotho";4.898;53.7
"Liberia";4.571;61.4
"Libya";5.754;72.7
"Lithuania";5.833;73.6
"Luxembourg";6.946;82.0
"Madagascar";3.681;65.5
"Malawi";4.292;58.3
"Malaysia";5.77;75.0
"Mali";3.995;58.2
"Malta";6.302;81.7
"Mauritania";4.436;63.1
"Mauritius";5.477;74.6
"Mexico";7.187;76.7
"Mongolia";4.874;68.8
"Montenegro";5.192;76.1
"Morocco";5.013;74.3
"Mozambique";4.971;57.6
"Myanmar";4.307;66.6
"Namibia";4.574;65.8
"Nepal";4.514;69.2
"Netherlands";7.378;81.9
"New Zealand";7.286;81.6
"Nicaragua";5.828;74.8
"Niger";3.845;61.8
"Nigeria";5.268;54.5
"Norway";7.522;81.8
"Oman";6.853;76.6
"Pakistan";5.194;66.4
"Panama";6.786;77.8
"Paraguay";5.878;74.0
"Peru";5.824;75.5
"Philippines";5.073;68.5
"Poland";5.791;77.5
"Portugal";5.102;81.1
"Qatar";6.611;78.2
"Moldova";5.889;72.1
"Romania";5.124;75.0
"Russia";5.716;75.0
"Rwanda";3.465;66.1
"Saudi Arabia";6.411;74.5
"Senegal";3.904;66.7
"Serbia";5.123;75.6
"Sierra Leone";4.507;51.0
"Singapore";6.798;83.1
"Slovakia";5.995;76.7
"Slovenia";5.848;88.0
"Somalia";5.44;55.0
"South Africa";4.642;62.9
"South Sudan";3.832;57.3
"Spain";6.329;82.8
"Sri Lanka";4.271;74.9
"Sudan";4.55;64.1
"Suriname";6.269;71.6
"Swaziland";4.867;58.9
"Sweden";7.364;82.4
"Switzerland";7.587;83.4
"Syria";3.006;64.5
"Tajikistan";4.786;69.7
"Thailand";6.455;74.9
"North Macedonia";5.007;75.7
"Togo";2.839;59.9
"Trinidad and Tobago";6.168;71.2
"Tunisia";4.739;75.3
"Turkey";5.332;75.8
"Turkmenistan";5.548;66.3
"Uganda";3.931;62.3
"Ukraine";4.681;71.3
"United Arab Emirates";6.901;77.1
"United Kingdom";6.867;81.2
"Tanzania";3.781;61.8
"United States";7.119;79.3
"Uruguay";6.485;77.0
"Uzbekistan";6.003;69.4
"Venezuela";6.81;74.1
"Vietnam";5.36;76.0
"Yemen";4.077;65.7
"Zambia";5.129;61.8
"Zimbabwe";4.61;67.0
