"country";"avg_happiness";"avg_life_expectancy"
"Afghanistan";3.58;58.19
"Albania";4.96;75.16
"Algeria";5.61;73.62
"Angola";4.03;49.02
"Argentina";6.57;75.16
"Armenia";4.35;73.4
"Australia";7.28;81.81
"Austria";7.2;81.48
"Azerbaijan";5.21;70.73
"Bahrain";5.96;75.72
"Bangladesh";4.69;69.3
"Belarus";5.81;69.91
"Belgium";6.94;80.68
"Belize";5.96;69.27
"Benin";3.34;57.57
"Bhutan";5.25;66.16
"Bolivia";5.89;67.71
"Bosnia and Herzegovina";4.95;75.97
"Botswana";4.33;56.05
"Brazil";6.98;73.38
"Bulgaria";4.22;72.85
"Burkina Faso";3.59;55.64
"Burundi";2.9;55.54
"Cambodia";3.82;64.34
"Cameroon";4.25;54.02
"Canada";7.43;81.69
"Central African Republic";3.68;48.51
"Chad";3.67;50.39
"Chile";6.67;79.45
"China";5.14;74.26
"Colombia";6.48;73.29
"Comoros";3.96;61.58
"Congo";4.52;57.37
"Costa Rica";7.23;78.59
"Croatia";5.76;76.12
"Cyprus";5.7;79.67
"Czech Republic";6.51;76.77
"Denmark";7.53;79.26
"Djibouti";4.37;60.76
"Dominican Republic";4.89;72.34
"Ecuador";5.97;74.72
"Egypt";4.19;71.5
"El Salvador";6.13;71.74
"Estonia";5.43;74.94
"Ethiopia";4.51;59.11
"Finland";7.41;80.71
"France";6.57;82.22
"Gabon";3.9;62.24
"Gambia";4.52;59.46
"Georgia";4.3;73.51
"Germany";6.75;81.18
"Ghana";4.63;60.86
"Greece";4.86;81.22
"Guatemala";6.12;71.73
"Guinea";3.66;56.01
"Haiti";4.52;59.87
"Honduras";4.79;72.99
"Hungary";4.8;73.83
"Iceland";7.56;82.44
"India";4.57;65.42
"Indonesia";5.4;67.56
"Iran";4.69;73.86
"Iraq";4.68;70.36
"Ireland";6.94;80.15
"Israel";7.28;81.3
"Italy";5.95;82.19
"Ivory Coast";3.65;50.39
"Jamaica";5.71;74.29
"Japan";5.99;82.54
"Jordan";5.19;72.99
"Kazakhstan";5.86;66.76
"Kenya";4.42;57.48
"Kuwait";6.3;73.84
"Kyrgyzstan";5.29;69.08
"Laos";4.88;62.38
"Latvia";5.1;73.73
"Lebanon";4.84;74.2
"Lesotho";4.9;48.78
"Liberia";4.57;57.53
"Libya";5.75;72.49
"Lithuania";5.83;72.81
"Luxembourg";6.95;80.78
"Madagascar";3.68;62.74
"Malawi";4.29;49.89
"Malaysia";5.77;73.76
"Mali";3.99;54.94
"Malta";6.3;80.36
"Mauritania";4.44;62.8
"Mauritius";5.48;72.71
"Mexico";7.19;75.72
"Moldova";5.89;69.98
"Mongolia";4.87;65.89
"Montenegro";5.19;74.5
"Morocco";5.01;72.16
"Mozambique";4.97;53.39
"Myanmar";4.31;64.2
"Namibia";4.57;60.4
"Nepal";4.51;66.48
"Netherlands";7.38;81.13
"New Zealand";7.29;81.34
"Nicaragua";5.83;73.45
"Niger";3.85;56.98
"Nigeria";5.27;51.36
"North Macedonia";5.01;74.11
"Norway";7.52;81.79
"Oman";6.85;74.84
"Pakistan";5.19;64.5
"Panama";6.79;76.49
"Paraguay";5.88;73.11
"Peru";5.82;73.66
"Philippines";5.07;67.58
"Poland";5.79;75.65
"Portugal";5.1;79.99
"Qatar";6.61;77.03
"Romania";5.12;74.05
"Russia";5.72;67.76
"Rwanda";3.46;59.31
"Saudi Arabia";6.41;73.47
"Senegal";3.9;62.57
"Serbia";5.12;73.96
"Sierra Leone";4.51;46.11
"Singapore";6.8;81.47
"Slovakia";5.99;74.75
"Slovenia";5.85;79.73
"Somalia";5.44;53.32
"South Africa";4.64;57.5
"South Sudan";3.83;53.88
"Spain";6.33;82.07
"Sri Lanka";4.27;73.4
"Sudan";4.55;61.83
"Suriname";6.27;70.08
"Swaziland";4.87;51.33
"Sweden";7.36;82.52
"Switzerland";7.59;82.33
"Syria";3.01;70.85
"Tajikistan";4.79;66.66
"Tanzania";3.78;56.01
"Thailand";6.45;73.08
"Togo";2.84;56.66
"Trinidad and Tobago";6.17;71.07
"Tunisia";4.74;74.36
"Turkey";5.33;73.91
"Turkmenistan";5.55;64.62
"Uganda";3.93;55.71
"Ukraine";4.68;69.94
"United Arab Emirates";6.9;75.7
"United Kingdom";6.87;80.79
"United States";7.12;78.06
"Uruguay";6.49;76.08
"Uzbekistan";6.0;68.03
"Venezuela";6.81;73.39
"Vietnam";5.36;74.77
"Yemen";4.08;63.86
"Zambia";5.13;53.91
"Zimbabwe";4.61;50.49
